,Helmet,Goggles,Jacket,Gloves,Footwear
109,0.55,0,0,0,0
110,0.55,0,0,0,0
111,0.55,0,0,0,0
112,0.55,0,0,0,0
113,0.55,0,0,0,0
114,0.55,0,0,0,0
115,0.55,0,0,0,0
116,0.55,0,0,0,0
117,0.55,0,0,0,0
118,0.55,0,0,0,0
119,0.55,0.58,0,0,0
120,0.55,0.58,0,0,0
121,0.55,0.58,0,0,0
122,0.55,0.58,0,0,0
123,0.55,0.58,0,0,0
124,0.55,0.58,0,0,0
125,0.55,0.58,0,0,0
126,0.55,0.58,0,0,0
127,0.55,0.58,0,0,0
128,0.55,0.58,0,0,0
129,0.55,0.58,0,0,0
130,0.55,0.61,0,0,0
131,0.55,0.61,0,0,0
132,0.55,0.61,0,0,0
133,0.55,0.51,0,0,0
134,0.86,0,0,0,0
135,0.88,0,0,0,0
136,0.69,0,0,0,0
137,0.85,0,0,0,0
138,0.70,0,0,0,0
139,0.83,0,0,0,0
140,0.77,0,0,0,0
141,0.79,0,0,0,0
142,0.61,0,0,0,0
143,0.67,0,0,0,0
144,0.62,0,0,0,0
145,0.77,0,0,0,0
146,0.66,0,0,0,0
147,0.61,0,0,0,0
148,0.54,0,0,0,0
149,0.55,0,0,0,0
150,0.60,0,0,0,0
151,0.64,0.90,0,0,0
152,0.64,0.89,0,0,0
153,0.64,0.90,0,0,0
154,0.64,0.85,0,0,0
155,0.64,0.89,0,0,0
156,0.64,0.87,0,0,0
157,0.64,0.88,0,0,0
158,0.76,0,0,0,0
159,0.76,0,0,0.73,0
160,0.76,0,0,0.73,0
161,0.76,0,0,0.73,0
162,0.76,0,0,0.73,0
163,0.64,0.69,0,0.73,0
164,0.82,0.69,0,0.73,0
165,0.82,0.89,0,0.73,0
166,0.82,0.89,0,0.73,0
167,0.82,0.90,0,0.73,0
168,0.82,0.91,0,0.73,0
169,0.72,0,0,0,0
170,0.59,0,0,0.78,0
171,0.57,0,0,0.63,0
172,0.57,0,0,0.63,0
173,0.57,0,0,0.63,0
174,0.57,0,0,0.63,0
175,0.57,0.89,0,0.63,0
176,0.57,0.82,0,0.63,0
177,0.57,0.84,0,0.63,0
178,0.57,0.66,0,0.63,0
179,0.57,0.86,0,0.63,0
180,0.57,0.86,0,0.63,0
181,0.77,0.86,0,0.63,0
182,0.77,0.75,0,0.63,0
183,0.77,0.89,0,0.63,0
184,0.77,0.89,0,0.63,0
185,0.77,0.88,0,0.63,0
186,0.77,0.90,0,0.63,0
187,0.77,0.89,0,0.63,0
188,0.77,0.91,0,0.63,0
189,0.77,0.89,0,0.63,0
190,0.77,0.89,0,0.63,0
191,0.77,0.90,0,0.63,0
192,0.77,0.89,0,0.63,0
193,0.77,0.89,0,0.63,0
194,0.77,0.89,0,0.63,0
195,0.77,0.88,0,0.63,0
196,0.77,0.85,0,0.63,0
197,0.77,0.82,0,0.63,0
198,0.77,0.90,0,0.63,0
199,0.77,0.88,0,0.63,0
200,0.77,0.91,0,0.63,0
201,0.77,0.89,0,0.63,0
202,0.77,0.89,0,0.63,0
203,0.65,0,0,0,0
204,0.59,0,0,0,0
205,0.59,0,0,0,0
206,0.59,0,0,0,0
207,0.59,0,0,0,0
208,0.59,0,0,0,0
209,0.74,0,0,0,0
210,0.77,0,0,0,0
211,0.77,0,0,0,0
212,0.77,0.91,0,0,0
213,0.77,0.88,0,0,0
214,0.77,0.88,0,0,0
215,0.77,0.85,0,0,0
216,0.77,0.92,0,0,0
217,0.77,0.92,0,0,0
218,0.77,0.88,0,0,0
219,0.77,0.87,0,0,0
220,0.75,0,0,0,0
221,0.75,0,0,0.76,0
222,0.75,0,0,0.61,0
223,0.75,0,0,0.61,0
224,0.75,0.84,0,0.61,0
225,0.75,0.91,0,0.61,0
226,0.75,0.90,0,0.61,0
227,0.75,0.89,0,0.61,0
228,0.75,0.83,0,0.61,0
229,0.75,0.91,0,0.61,0
230,0.75,0.89,0,0.61,0
231,0.75,0.89,0,0.61,0
232,0.75,0.88,0,0.61,0
233,0.75,0.91,0,0.61,0
234,0.76,0,0,0,0
235,0.84,0,0,0,0
236,0.52,0,0,0,0
237,0.57,0,0,0,0
238,0.57,0.88,0,0,0
239,0.57,0.89,0,0,0
240,0.57,0.89,0,0,0
241,0.57,0.91,0,0,0
242,0.57,0.92,0,0,0
243,0.57,0.90,0,0,0
244,0.57,0.77,0,0,0
245,0.57,0.92,0,0,0
246,0.75,0,0,0,0
247,0.77,0,0,0,0
248,0.56,0,0,0,0
249,0.60,0,0,0,0
250,0.60,0,0,0,0
251,0.60,0,0,0,0
252,0.60,0,0,0,0
253,0.60,0,0,0,0
254,0.60,0,0,0,0
255,0.65,0,0,0,0
256,0.65,0.51,0,0,0
257,0.65,0.89,0,0,0
258,0.70,0.58,0,0,0
259,0.70,0.92,0,0,0
260,0.70,0.91,0,0,0
261,0.70,0.90,0,0,0
262,0.70,0.92,0,0,0
263,0.70,0.91,0,0,0
264,0.70,0.89,0,0,0
265,0.60,0.88,0,0,0
266,0.60,0.91,0,0,0
267,0.60,0.91,0,0,0
268,0.60,0.89,0,0,0
269,0.60,0.92,0,0,0
270,0.60,0.90,0,0,0
271,0.60,0.91,0,0,0
272,0.60,0.91,0,0,0
273,0.60,0.88,0,0,0
274,0.90,0,0,0,0
275,0.87,0,0,0,0
276,0.87,0.72,0,0,0
277,0.87,0.71,0,0,0
278,0.86,0.71,0,0,0
279,0.86,0.71,0,0,0
280,0.79,0.71,0,0,0
281,0.79,0.71,0,0,0
282,0.79,0.71,0,0,0
283,0.79,0.67,0,0,0
284,0.79,0.67,0,0,0
285,0.79,0.67,0,0,0
286,0.79,0.54,0,0,0
287,0.79,0.69,0,0,0
288,0.79,0.74,0,0,0
289,0.79,0.71,0,0,0
290,0.79,0.71,0,0,0
291,0.79,0.67,0,0,0
292,0.79,0.71,0,0,0
293,0.79,0.72,0,0,0
294,0.79,0.53,0,0,0
295,0.79,0.64,0,0,0
296,0.79,0.61,0,0,0
297,0.79,0.67,0,0,0
298,0.79,0.64,0,0,0
299,0.79,0.66,0,0,0
300,0.79,0.53,0,0,0
301,0.79,0.62,0,0,0
302,0.79,0.66,0,0,0
303,0.79,0.66,0,0,0
304,0.79,0.60,0,0,0
305,0.79,0.54,0,0,0
306,0.79,0.60,0,0,0
307,0.79,0.57,0,0,0
308,0.79,0.60,0,0,0
309,0.79,0.59,0,0,0
310,0.79,0.63,0,0,0
311,0.79,0.53,0,0,0
312,0.79,0.53,0,0,0
313,0.79,0.63,0,0,0
314,0.79,0.55,0,0,0
315,0.79,0.62,0,0,0
316,0.79,0.64,0,0,0
317,0.79,0.61,0,0,0
318,0.79,0.66,0,0,0
319,0.79,0.73,0,0,0
320,0.79,0.67,0,0,0
321,0.79,0.66,0,0,0
322,0.79,0.56,0,0,0
323,0.79,0.65,0,0,0
324,0.79,0.63,0,0,0
325,0.79,0.56,0,0,0
326,0.79,0.61,0,0,0
327,0.79,0.58,0,0,0
328,0.79,0.59,0,0,0
329,0.79,0.72,0,0,0
330,0.79,0.58,0,0,0
331,0.79,0.65,0,0,0
332,0.79,0.52,0,0,0
333,0.79,0.62,0,0,0
334,0.79,0.61,0,0,0
335,0.79,0.59,0,0,0
336,0.79,0.59,0,0,0
337,0.79,0.63,0,0,0
338,0.79,0.59,0,0,0
339,0.86,0,0,0,0
340,0.70,0,0,0,0
341,0.70,0,0,0,0
342,0.70,0,0,0,0
343,0.70,0,0,0,0
344,0.70,0.69,0,0,0
345,0.70,0.74,0,0,0
346,0.70,0.70,0,0,0
347,0.70,0.75,0,0,0
348,0.70,0.72,0,0,0
349,0.70,0.66,0,0,0
350,0.70,0.69,0,0,0
351,0.55,0.62,0,0,0
352,0.55,0.62,0,0,0
353,0.55,0.58,0,0,0
354,0.55,0.66,0,0,0
355,0.55,0.57,0,0,0
356,0.55,0.57,0,0,0
357,0.55,0.63,0,0,0
358,0.84,0,0,0,0
359,0.85,0,0,0,0
360,0.64,0,0,0,0
361,0.64,0,0,0,0
362,0.64,0,0,0,0
363,0.64,0.74,0,0,0
364,0.64,0.60,0,0,0
365,0.64,0.67,0,0,0
366,0.64,0.71,0,0,0
367,0.64,0.63,0,0,0
368,0.64,0.66,0,0,0
369,0.64,0.68,0,0,0
370,0.64,0.62,0,0,0
371,0.64,0.60,0,0,0
372,0.64,0.61,0,0,0
373,0.64,0.61,0,0,0
374,0.64,0.73,0,0,0
375,0.64,0.72,0,0,0
376,0.64,0.65,0,0,0
377,0.64,0.65,0,0,0
378,0.64,0.68,0,0,0
379,0.64,0.66,0,0,0
380,0.64,0.62,0,0,0
381,0.64,0.73,0,0,0
382,0.64,0.56,0,0,0
383,0.64,0.64,0,0,0
384,0.64,0.65,0,0,0
385,0.64,0.66,0,0,0
386,0.64,0.70,0,0,0
387,0.64,0.67,0,0,0
388,0.64,0.71,0,0,0
389,0.64,0.66,0,0,0
390,0.64,0.69,0,0,0
391,0.64,0.70,0,0,0
392,0.64,0.67,0,0,0
393,0.64,0.73,0,0,0
394,0.64,0.74,0,0,0
395,0.64,0.64,0,0,0
396,0.64,0.58,0,0,0
397,0.64,0.65,0,0,0
398,0.64,0.63,0,0,0
399,0.64,0.68,0,0,0
400,0.64,0.70,0,0,0
401,0.64,0.68,0,0,0
402,0.64,0.69,0,0,0
403,0.64,0.70,0,0,0
404,0.64,0.71,0,0,0
405,0.64,0.61,0,0,0
406,0.64,0.58,0,0,0
407,0.64,0.68,0,0,0
408,0.64,0.60,0,0,0
409,0.64,0.69,0,0,0
410,0.64,0.65,0,0,0
411,0.64,0.67,0,0,0
412,0.64,0.71,0,0,0
413,0.64,0.68,0,0,0
414,0.64,0.71,0,0,0
415,0.64,0.58,0,0,0
416,0.64,0.55,0,0,0
417,0.64,0.66,0,0,0
418,0.64,0.66,0,0,0
419,0.64,0.66,0,0,0
420,0.64,0.67,0,0,0
421,0.64,0.72,0,0,0
422,0.64,0.70,0,0,0
423,0.64,0.64,0,0,0
424,0.64,0.69,0,0,0
425,0.64,0.67,0,0,0
426,0.64,0.75,0,0,0
427,0.64,0.70,0,0,0
428,0.64,0.70,0,0,0
429,0.64,0.72,0,0,0
430,0.64,0.70,0,0,0
431,0.64,0.58,0,0,0
432,0.64,0.69,0,0,0
433,0.64,0.72,0,0,0
434,0.64,0.72,0,0,0
435,0.64,0.67,0,0,0
436,0.64,0.75,0,0,0
437,0.64,0.66,0,0,0
438,0.64,0.54,0,0,0
439,0.64,0.65,0,0,0
440,0.64,0.63,0,0,0
441,0.64,0.62,0,0,0
442,0.64,0.69,0,0,0
443,0.64,0.62,0,0,0
444,0.64,0.62,0,0,0
445,0.64,0.69,0,0,0
446,0.64,0.66,0,0,0
447,0.64,0.68,0,0,0
448,0.64,0.72,0,0,0
449,0.64,0.70,0,0,0
450,0.64,0.63,0,0,0
451,0.64,0.70,0,0,0
452,0.64,0.73,0,0,0
453,0.64,0.69,0,0,0
454,0.64,0.75,0,0,0
455,0.64,0.64,0,0,0
456,0.64,0.71,0,0,0
457,0.64,0.66,0,0,0
458,0.64,0.75,0,0,0
459,0.64,0.65,0,0,0
460,0.64,0.67,0,0,0
461,0.64,0.58,0,0,0
462,0.64,0.61,0,0,0
463,0.64,0.63,0,0,0
464,0.82,0,0,0,0
465,0.81,0,0,0,0
466,0.60,0,0,0,0
467,0.60,0.55,0,0,0
468,0.60,0.55,0,0,0
469,0.60,0.55,0,0,0
470,0.60,0.66,0,0,0
471,0.60,0.66,0,0,0
472,0.60,0.56,0,0,0
473,0.60,0.56,0,0,0
474,0.60,0.59,0,0,0
475,0.60,0.52,0,0,0
476,0.60,0.52,0,0,0
477,0.60,0.52,0,0,0
478,0.60,0.52,0,0,0
479,0.60,0.52,0,0,0
480,0.60,0.69,0,0,0
481,0.60,0.69,0,0,0
482,0.60,0.53,0,0,0
483,0.60,0.53,0,0,0
484,0.60,0.53,0,0,0
485,0.60,0.53,0,0,0
486,0.60,0.57,0,0,0
487,0.60,0.57,0,0,0
488,0.60,0.59,0,0,0
489,0.60,0.59,0,0,0
490,0.60,0.59,0,0,0
491,0.60,0.59,0,0,0
492,0.60,0.63,0,0,0
493,0.60,0.63,0,0,0
494,0.60,0.63,0,0,0
495,0.60,0.63,0,0,0
496,0.60,0.63,0,0,0
497,0.60,0.66,0,0,0
498,0.60,0.54,0,0,0
499,0.60,0.59,0,0,0
500,0.60,0.59,0,0,0
501,0.60,0.59,0,0,0
502,0.60,0.55,0,0,0
503,0.60,0.61,0,0,0
504,0.60,0.61,0,0,0
505,0.60,0.55,0,0,0
506,0.60,0.55,0,0,0
507,0.60,0.55,0,0,0
508,0.60,0.55,0,0,0
509,0.60,0.55,0,0,0
510,0.60,0.55,0,0,0
511,0.60,0.53,0,0,0
512,0.60,0.53,0,0,0
513,0.60,0.53,0,0,0
514,0.60,0.56,0,0,0
515,0.60,0.56,0,0,0
516,0.60,0.56,0,0,0
517,0.60,0.56,0,0,0
518,0.60,0.57,0,0,0
519,0.60,0.63,0,0,0
520,0.60,0.63,0,0,0
521,0.60,0.63,0,0,0
522,0.60,0.63,0,0,0
523,0.60,0.64,0,0,0
524,0.60,0.64,0,0,0
525,0.60,0.53,0,0,0
526,0.60,0.67,0,0,0
527,0.60,0.57,0,0,0
528,0.60,0.60,0,0,0
529,0.60,0.60,0,0,0
530,0.60,0.60,0,0,0
531,0.60,0.60,0,0,0
532,0.85,0,0,0,0
533,0.88,0,0,0,0
534,0.88,0,0,0,0
535,0.88,0,0,0,0
536,0.88,0.67,0,0,0
537,0.88,0.67,0,0,0
538,0.88,0.67,0,0,0
539,0.88,0.67,0,0,0
540,0.88,0.52,0,0,0
541,0.88,0.61,0,0,0
542,0.88,0.61,0,0,0
543,0.79,0,0,0,0
544,0.76,0,0,0,0
545,0.76,0.56,0,0,0
546,0.76,0.56,0,0,0
547,0.76,0.56,0,0,0
548,0.76,0.57,0,0,0
549,0.76,0.59,0,0,0
550,0.76,0.59,0,0,0
551,0.76,0.59,0,0,0
552,0.76,0.63,0,0,0
553,0.76,0.68,0,0,0
554,0.76,0.68,0,0,0
555,0.76,0.68,0,0,0
556,0.76,0.69,0,0,0
557,0.76,0.66,0,0,0
558,0.76,0.67,0,0,0
559,0.76,0.55,0,0,0
560,0.76,0.56,0,0,0
561,0.76,0.52,0,0,0
562,0.76,0.52,0,0,0
563,0.76,0.56,0,0,0
564,0.76,0.56,0,0,0
565,0.76,0.69,0,0,0
566,0.76,0.69,0,0,0
567,0.76,0.60,0,0,0
568,0.76,0.50,0,0,0
569,0.76,0.50,0,0,0
570,0.76,0.66,0,0,0
571,0.76,0.51,0,0,0
572,0.77,0,0,0,0
573,0.82,0,0,0,0
574,0.63,0,0,0,0
575,0.59,0,0,0,0
576,0.59,0.55,0,0,0
577,0.59,0.57,0,0,0
578,0.59,0.57,0,0,0
579,0.59,0.58,0,0,0
580,0.59,0.58,0,0,0
581,0.59,0.55,0,0,0
582,0.59,0.52,0,0,0
583,0.59,0.52,0,0,0
584,0.59,0.50,0,0,0
585,0.59,0.52,0,0,0
586,0.59,0.52,0,0,0
587,0.59,0.55,0,0,0
588,0.59,0.54,0,0,0
589,0.59,0.58,0,0,0
590,0.59,0.58,0,0,0
591,0.59,0.58,0,0,0
592,0.59,0.58,0,0,0
593,0.59,0.58,0,0,0
594,0.59,0.58,0,0,0
595,0.59,0.58,0,0,0
596,0.59,0.58,0,0,0
597,0.77,0,0,0,0
598,0.75,0,0,0,0
599,0.70,0,0,0,0
600,0.52,0,0,0,0
601,0.52,0,0,0,0
602,0.52,0,0,0,0
603,0.52,0,0,0,0
604,0.52,0,0,0,0
605,0.52,0,0,0,0
606,0.52,0,0,0,0
607,0.52,0,0,0,0
608,0.51,0,0,0,0
609,0.51,0,0,0,0
610,0.51,0,0,0,0
611,0.51,0,0,0,0
612,0.51,0,0,0,0
613,0.51,0,0,0,0
614,0.51,0,0,0,0
615,0.51,0,0,0,0
616,0.51,0,0,0,0
617,0.51,0,0,0,0
618,0.51,0,0,0,0
619,0.51,0,0,0,0
620,0.51,0,0,0,0
621,0.58,0,0,0,0
622,0.58,0,0,0,0
623,0.58,0,0,0,0
624,0.58,0,0,0,0
625,0.58,0,0,0,0
626,0.58,0,0,0,0
627,0,0,0,0,0
628,0,0,0,0,0
629,0,0,0,0,0
630,0.77,0,0,0,0
631,0.79,0,0,0,0
632,0.53,0,0,0,0
633,0.60,0,0,0,0
634,0.60,0,0,0,0
635,0.60,0,0,0,0
636,0.60,0,0,0,0
637,0.60,0,0,0,0
638,0.60,0,0,0,0
639,0.60,0,0,0,0
640,0.60,0,0,0,0
641,0.60,0,0,0,0
642,0.60,0,0,0,0
643,0.60,0,0,0,0
644,0.60,0,0,0,0
645,0.60,0,0,0,0
646,0.60,0,0,0,0
647,0.60,0,0,0,0
648,0.60,0,0,0,0
649,0.60,0,0,0,0
650,0.60,0,0,0,0
651,0.60,0,0,0,0
652,0.60,0,0,0,0
653,0.60,0,0,0,0
654,0.84,0,0,0,0
655,0.83,0,0,0,0
656,0.78,0,0,0,0
657,0.79,0,0,0,0
658,0.72,0,0,0,0
659,0.72,0,0,0,0
660,0.64,0,0,0,0
661,0.58,0,0,0,0
662,0.57,0,0,0,0
663,0.76,0,0,0,0
664,0.76,0,0,0,0
665,0.76,0,0,0,0
666,0.76,0,0,0,0
667,0.76,0,0,0,0
668,0.76,0,0,0,0
669,0.76,0,0,0,0
670,0.76,0,0,0,0
671,0.76,0,0,0,0
672,0.84,0,0,0,0
673,0.64,0,0,0,0
674,0.59,0,0,0,0
675,0.59,0.55,0,0,0
676,0.59,0.55,0,0,0
677,0.59,0.55,0,0,0
678,0.59,0.55,0,0,0
679,0.59,0.54,0,0,0
680,0.59,0.54,0,0,0
681,0.59,0.54,0,0,0
682,0.59,0.51,0,0,0
683,0.59,0.56,0,0,0
684,0.59,0.56,0,0,0
685,0.59,0.56,0,0,0
686,0.59,0.56,0,0,0
687,0.59,0.56,0,0,0
688,0.59,0.56,0,0,0
689,0.59,0.56,0,0,0
690,0.59,0.56,0,0,0
691,0.59,0.56,0,0,0
692,0.59,0.56,0,0,0
693,0.59,0.56,0,0,0
694,0.59,0.57,0,0,0
695,0.59,0.57,0,0,0
696,0.59,0.52,0,0,0
697,0.59,0.52,0,0,0
698,0.59,0.54,0,0,0
699,0.59,0.54,0,0,0
700,0.59,0.52,0,0,0
701,0.59,0.51,0,0,0
702,0.59,0.51,0,0,0
703,0.59,0.51,0,0,0
704,0.59,0.51,0,0,0
705,0.59,0.51,0,0,0
706,0.59,0.51,0,0,0
707,0.59,0.51,0,0,0
708,0.71,0,0,0,0
709,0.61,0,0,0,0
710,0.61,0,0,0,0
711,0.61,0.71,0,0,0
712,0.61,0.71,0,0,0
713,0.61,0.51,0,0,0
714,0.61,0.56,0,0,0
715,0.61,0.63,0,0,0
716,0.61,0.60,0,0,0
717,0.61,0.70,0,0,0
718,0.61,0.64,0,0,0
719,0.61,0.61,0,0,0
720,0.61,0.76,0,0,0
721,0.61,0.65,0,0,0
722,0.61,0.76,0,0,0
723,0.61,0.71,0,0,0
724,0.61,0.84,0,0,0
725,0.61,0.75,0,0,0
726,0.61,0.75,0,0,0
727,0.61,0.85,0,0,0
728,0.61,0.83,0,0,0
729,0.61,0.83,0,0,0
730,0.61,0.58,0,0,0
731,0.61,0.82,0,0,0
732,0.61,0.77,0,0,0
733,0.61,0.80,0,0,0
734,0.61,0.83,0,0,0
735,0.61,0.68,0,0,0
736,0.61,0.87,0,0,0
737,0.61,0.84,0,0,0
738,0.61,0.82,0,0,0
739,0.61,0.85,0,0,0
740,0.61,0.85,0,0,0
741,0.61,0.83,0,0,0
742,0.61,0.84,0,0,0
743,0.61,0.82,0,0,0
744,0.61,0.87,0,0,0
745,0.61,0.87,0,0,0
746,0.61,0.51,0,0,0
747,0.61,0.84,0,0,0
748,0.61,0.78,0,0,0
749,0.61,0.80,0,0,0
750,0.61,0.82,0,0,0
751,0.61,0.64,0,0,0
752,0.61,0.83,0,0,0
753,0.61,0.83,0,0,0
754,0.61,0.82,0,0,0
755,0.61,0.84,0,0,0
756,0.85,0,0,0,0
757,0.86,0,0,0,0
758,0.54,0,0,0,0
759,0.64,0,0,0,0
760,0.63,0,0,0,0
761,0.63,0,0,0,0
762,0.63,0,0,0,0
763,0.63,0,0,0,0
764,0.63,0,0,0,0
765,0.63,0,0,0,0
766,0.63,0,0,0,0
767,0.63,0,0,0,0
768,0.63,0,0,0,0
769,0.63,0,0,0,0
770,0.63,0,0,0,0
771,0.63,0,0,0,0
772,0.63,0,0,0,0
773,0.63,0.59,0,0,0
774,0.58,0,0,0,0
775,0.58,0,0,0,0
776,0.58,0,0,0,0
777,0.58,0,0,0,0
778,0.58,0,0,0,0
779,0.58,0,0,0,0
780,0.58,0,0,0,0
781,0.58,0,0,0,0
782,0.58,0,0,0,0
783,0.58,0.57,0,0,0
784,0.58,0.57,0,0,0
785,0.58,0.61,0,0,0
786,0.58,0.61,0,0,0
787,0.58,0.61,0,0,0
788,0.58,0.55,0,0,0
789,0.76,0,0,0,0
790,0.76,0,0,0,0
791,0.76,0,0,0,0
792,0.76,0.56,0,0,0
793,0.76,0.64,0,0,0
794,0.76,0.69,0,0,0
795,0.76,0.71,0,0,0
796,0.85,0,0,0,0
797,0.85,0,0,0,0
798,0.85,0,0,0,0
799,0.85,0,0,0,0
800,0.85,0,0,0,0
801,0.85,0.85,0,0,0
802,0.85,0.85,0,0,0
803,0.85,0.77,0,0,0
804,0.85,0.60,0,0,0
805,0.85,0.74,0,0,0
806,0.85,0.75,0,0,0
807,0.85,0.83,0,0,0
808,0.85,0.77,0,0,0
809,0.85,0.84,0,0,0
810,0.85,0.52,0,0,0
811,0.85,0.86,0,0,0
812,0.85,0.81,0,0,0
813,0.85,0.81,0,0,0
814,0.85,0.69,0,0,0
815,0.85,0.75,0,0,0
816,0.85,0.75,0,0,0
817,0.85,0.77,0,0,0
818,0.85,0.82,0,0,0
819,0.75,0,0,0,0
820,0.75,0,0,0,0
821,0.75,0,0,0,0
822,0.75,0.82,0,0,0
823,0.75,0.88,0,0,0
824,0.75,0.81,0,0,0
825,0.75,0.82,0,0,0
826,0.75,0.73,0,0,0
827,0.75,0.79,0,0,0
828,0.75,0.83,0,0,0
829,0.75,0.63,0,0,0
830,0.79,0,0,0,0
831,0.79,0,0,0,0
832,0.79,0,0,0,0
833,0.79,0,0,0,0
834,0.79,0.82,0,0,0
835,0.79,0.65,0,0,0
836,0.79,0.68,0,0,0
837,0.79,0.74,0,0,0
838,0.79,0.79,0,0,0
839,0.76,0,0,0,0
840,0.76,0,0,0.50,0
841,0.69,0,0,0.50,0
842,0.57,0,0,0.50,0
843,0.54,0,0,0.50,0
844,0.54,0,0,0.50,0
845,0.54,0,0,0.50,0
846,0.54,0,0,0.50,0
847,0.54,0.68,0,0.50,0
848,0.78,0.68,0,0.50,0
849,0.78,0.53,0,0.50,0
850,0.54,0.70,0,0.50,0
851,0.54,0.83,0,0.50,0
852,0.54,0.81,0,0.50,0
853,0.54,0.87,0,0.50,0
854,0.54,0.63,0,0.50,0
855,0.54,0.63,0,0.50,0
856,0.54,0.78,0,0.50,0
857,0.54,0.79,0,0.50,0
858,0.54,0.80,0,0.50,0
859,0.54,0.75,0,0.50,0
860,0.54,0.77,0,0.50,0
861,0.54,0.73,0,0.50,0
862,0.76,0,0,0,0
863,0.72,0,0,0,0
864,0.84,0,0,0,0
865,0.84,0,0,0,0
866,0.84,0,0,0,0
867,0.84,0,0,0,0
868,0.84,0,0,0,0
869,0.84,0,0,0,0
870,0.84,0,0,0,0
871,0.84,0,0,0,0
872,0.84,0.53,0,0,0
873,0.84,0.53,0,0,0
874,0.84,0.53,0,0,0
875,0.84,0.53,0,0,0
876,0.84,0.53,0,0,0
877,0.84,0.53,0,0,0
878,0.84,0.53,0,0,0
879,0.84,0.53,0,0,0
880,0.84,0.62,0,0,0
881,0.84,0.60,0,0,0
882,0.84,0.60,0,0,0
883,0.84,0.62,0,0,0
884,0.84,0.62,0,0,0
885,0.84,0.59,0,0,0
886,0.84,0.55,0,0,0
887,0.83,0,0,0,0
888,0.81,0,0,0,0
889,0.68,0,0,0,0
890,0.57,0,0,0,0
891,0.57,0,0,0,0
892,0.57,0,0,0,0
893,0.57,0.50,0,0,0
894,0.57,0.82,0,0,0
895,0.78,0,0,0,0
896,0.78,0,0,0,0
897,0.78,0,0,0,0
898,0.59,0,0,0,0
